Date;Country;City;Specie;count;min (ug/m3);max (ug/m3);median (ug/m3)
14-02-2017;IN;New Delhi;pm25;23;39.9;202.9;151.5
14-02-2017;US;Houston;pm25;92;0.2;12.5;4.0
14-02-2017;CN;Beijing;pm25;456;3.1;264.6;178.7
14-02-2017;CN;Shanghai;pm25;214;48.0;94.2;65.1
14-02-2017;CN;Wuhan;pm25;396;31.1;113.6;50.1
14-02-2017;US;Jacksonville;pm25;103;1.9;32.0;6.9
15-02-2017;IN;New Delhi;pm25;23;57.4;200.9;119.4
15-02-2017;CN;Beijing;pm25;441;3.1;395.9;245.3
15-02-2017;US;Houston;pm25;88;0.2;17.3;2.8
15-02-2017;CN;Shanghai;pm25;216;39.9;107.7;61.3
15-02-2017;US;Los Angeles;pm25;70;1.2;48.9;15.9
15-02-2017;CN;Wuhan;pm25;397;38.7;153.5;76.8
15-02-2017;US;Jacksonville;pm25;120;4.0;28.2;7.4
15-02-2017;US;Manhattan;pm25;96;2.6;38.3;10.8
16-02-2017;US;Jacksonville;pm25;114;1.2;17.3;4.0
16-02-2017;US;Houston;pm25;96;0.4;16.3;7.4
16-02-2017;CN;Wuhan;pm25;388;59.3;164.6;86.4
16-02-2017;CN;Beijing;pm25;352;3.1;298.9;15.9
16-02-2017;IN;New Delhi;pm25;24;39.9;217.1;100.0
16-02-2017;US;Manhattan;pm25;96;1.2;16.3;7.6
16-02-2017;CN;Shanghai;pm25;202;23.0;52.1;39.9
16-02-2017;US;Los Angeles;pm25;68;0.7;44.0;15.9
17-02-2017;US;Los Angeles;pm25;69;1.2;21.1;5.7
17-02-2017;CN;Wuhan;pm25;306;90.3;414.0;140.7
17-02-2017;IN;New Delhi;pm25;24;41.9;144.5;98.1
17-02-2017;CN;Shanghai;pm25;151;8.1;148.4;26.8
17-02-2017;US;Houston;pm25;96;0.9;21.1;7.2
17-02-2017;US;Manhattan;pm25;96;3.1;40.3;9.6
17-02-2017;US;Jacksonville;pm25;119;3.8;47.6;11.0
17-02-2017;CN;Beijing;pm25;336;3.1;92.2;13.0
18-02-2017;IN;New Delhi;pm25;24;17.8;152.5;113.6
18-02-2017;US;Los Angeles;pm25;66;0.2;15.4;4.0
